Atletico de Bilbao,1970-71,1,2,1,0,2,0,1,0,0,1,2,0,2,0,1,0,0,0,0,0,2,0,2,2,2,0,1,1,2,0
Barcelona,1970-71,1,0,1,0,0,0,0,2,0,0,2,0,0,2,0,2,0,0,2,1,0,2,1,0,0,0,0,0,0,1
Las Palmas,1970-71,1,2,1,1,1,2,2,0,1,2,1,1,2,0,2,2,1,2,2,0,0,2,2,0,2,2,2,1,2,1
Atletico de Madrid,1970-71,1,0,0,0,0,0,1,1,2,0,1,0,1,0,2,0,2,0,2,0,0,0,2,0,1,0,0,0,1,1
Real Madrid,1970-71,0,2,0,1,1,0,2,1,2,0,0,1,1,0,0,2,0,2,0,0,1,0,0,0,0,2,0,0,0,1
Valencia,1970-71,2,0,2,1,1,0,0,0,0,1,0,2,0,0,0,0,1,1,0,1,0,0,1,2,0,0,0,0,0,2
Celta de Vigo,1970-71,0,2,1,2,0,1,0,0,1,0,2,0,2,0,0,2,1,2,0,2,0,0,2,0,0,0,2,0,2,1
Sporting de Gijon,1970-71,2,0,2,2,1,2,1,0,2,0,0,2,1,2,1,0,2,0,2,2,2,0,2,0,0,2,2,2,0,1
Elche,1970-71,1,2,0,2,2,2,1,1,1,2,1,1,1,2,2,2,2,2,1,1,2,2,0,2,1,0,2,2,2,0
Granada,1970-71,1,0,2,1,2,0,0,2,1,2,1,2,0,2,0,0,2,0,2,1,2,1,0,2,2,2,1,1,0,0
Espanol,1970-71,2,2,1,0,1,2,1,2,1,2,0,1,0,2,2,2,0,2,0,1,2,2,0,1,2,1,0,1,2,0
Sevilla,1970-71,0,0,0,1,0,2,1,1,2,2,0,2,0,2,0,0,2,1,0,1,0,2,0,2,1,2,0,2,0,2
Sabadell,1970-71,1,2,0,2,2,2,0,2,1,0,2,1,2,0,2,2,0,2,0,2,0,2,0,2,1,1,2,2,2,2
Real Sociedad,1970-71,1,0,1,1,1,0,2,2,0,1,0,2,0,2,2,0,0,0,2,1,2,1,0,2,2,2,2,1,0,1
Zaragoza,1970-71,1,2,2,2,1,1,2,1,1,2,2,0,2,0,1,2,2,2,2,2,2,0,2,1,2,2,2,1,2,1
CD Malaga,1970-71,1,0,2,0,1,2,2,1,1,1,2,1,2,2,1,0,1,0,1,1,1,2,2,0,0,0,0,2,1,2
Atletico de Bilbao,1971-72,2,2,2,2,0,1,2,1,0,0,2,0,2,0,2,2,0,2,0,0,0,2,0,0,2,2,2,0,0,0
Las Palmas,1971-72,0,1,0,1,2,1,2,0,1,1,2,0,0,2,0,2,1,0,2,2,2,0,0,0,1,0,2,0,2,0
Valencia,1971-72,1,1,0,0,0,0,0,1,1,0,2,1,2,0,0,0,2,2,0,2,0,2,0,1,0,2,1,0,2,0
Espanol,1971-72,1,0,1,0,2,1,2,0,2,1,0,2,2,0,0,0,2,0,2,2,2,0,2,1,2,0,2,2,1,1
Barcelona,1971-72,0,2,2,2,1,1,0,1,2,2,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,2,0
Real Sociedad,1971-72,2,0,2,1,2,0,1,2,0,1,0,2,0,0,0,0,0,1,2,2,0,0,2,0,2,2,0,2,1,2
Celta de Vigo,1971-72,0,1,2,2,2,2,2,1,0,0,2,0,1,2,2,0,1,1,0,1,1,0,2,2,1,0,2,0,1,1
Atletico de Madrid,1971-72,2,0,0,2,1,0,1,2,1,1,1,0,0,0,0,2,0,1,2,2,2,1,2,0,1,0,0,1,1,1
Deportivo,1971-72,0,2,0,2,0,2,1,2,2,2,0,1,2,1,2,0,2,1,1,0,0,2,1,2,1,2,0,2,0,2
Cordoba,1971-72,2,1,2,1,1,2,0,2,2,1,0,2,0,2,2,2,0,1,1,1,2,1,0,1,1,1,2,1,1,2
Granada,1971-72,0,2,1,1,0,2,1,1,0,2,0,2,2,1,2,0,2,2,0,0,0,2,0,2,1,1,0,2,0,0
CD Malaga,1971-72,2,0,0,0,1,1,1,2,1,0,1,1,1,1,0,2,1,0,1,1,2,1,2,2,0,2,1,1,1,1
Real Madrid,1971-72,0,0,0,1,0,1,0,0,1,1,1,2,0,1,0,0,0,1,1,1,0,0,0,2,0,0,0,2,0,2
Betis,1971-72,2,1,2,0,2,1,1,0,2,0,2,1,2,2,2,0,2,1,2,0,2,0,1,0,1,1,0,1,1,0
Sabadell,1971-72,2,2,0,0,2,1,2,1,2,0,1,0,2,1,2,2,1,2,0,2,1,2,2,1,2,1,2,1,2,0
Sporting de Gijon,1971-72,0,0,2,0,2,0,2,1,0,2,2,0,2,1,2,2,1,0,2,0,2,0,1,0,2,1,1,0,1,2
Sevilla,1971-72,0,1,2,1,0,1,0,0,0,2,1,2,0,2,0,2,2,2,1,1,2,2,2,2,1,1,0,1,2,2
Burgos,1971-72,2,2,0,2,0,1,0,1,1,2,0,2,0,2,2,2,0,0,1,1,0,2,0,2,0,2,2,2,0,2
Sporting de Gijon,1972-73,0,2,1,2,0,2,0,2,2,1,0,1,2,0,2,1,2,2,0,2,0,1,0,2,0,2,1,2,2,0
Betis,1972-73,2,2,2,2,1,1,2,1,1,0,0,1,1,2,2,1,0,0,2,0,2,1,2,0,2,1,2,1,1,1
Granada,1972-73,1,1,1,2,1,2,1,0,0,2,0,1,0,2,2,2,0,2,0,1,0,1,2,2,1,2,0,1,1,2
Zaragoza,1972-73,1,0,0,1,0,1,1,2,0,2,1,0,2,2,0,1,2,0,2,1,2,2,0,1,0,2,1,2,1,1
Las Palmas,1972-73,0,0,1,2,0,2,2,2,2,1,1,1,2,0,2,0,1,2,0,2,2,2,0,0,1,2,1,0,2,0
Oviedo,1972-73,2,2,2,0,2,1,1,0,1,2,2,1,1,1,1,2,0,0,2,1,2,0,1,0,0,1,2,2,0,0
CD Malaga,1972-73,1,1,1,0,2,0,0,2,1,0,1,0,2,1,0,0,2,2,0,0,2,1,2,2,1,0,2,0,2,1
Atletico de Bilbao,1972-73,1,1,0,0,2,0,2,2,2,0,2,1,1,0,1,2,0,0,2,1,2,0,2,2,1,0,2,0,2,1
Atletico de Madrid,1972-73,2,0,0,0,1,2,0,0,0,1,2,1,0,0,0,1,1,0,0,2,2,2,0,0,1,0,0,0,0,0
Valencia,1972-73,0,2,1,1,1,0,1,1,2,2,0,2,0,2,0,1,1,2,1,1,0,2,2,2,0,2,0,2,0,1
Barcelona,1972-73,0,0,0,0,0,1,0,2,1,1,0,1,0,2,1,0,0,0,1,1,0,1,2,0,0,2,0,2,0,2
Deportivo,1972-73,2,1,2,0,1,1,0,1,1,2,2,2,0,2,0,2,1,2,2,1,1,0,1,2,1,2,0,2,0,2
Burgos,1972-73,0,2,1,2,1,2,0,2,0,2,1,2,2,2,1,0,2,2,0,2,1,2,0,2,2,0,0,2,2,2
Real Sociedad,1972-73,2,1,0,1,2,0,2,0,2,0,0,0,1,0,2,0,2,0,2,0,2,1,2,2,2,0,1,0,2,2
Castellon,1972-73,2,2,2,1,0,2,2,0,0,1,2,1,0,0,2,0,2,2,0,1,0,1,0,0,2,0,2,0,1,1
Real Madrid,1972-73,0,0,1,2,2,0,1,1,0,0,2,0,0,2,0,2,0,0,2,0,0,1,0,1,1,0,0,1,0,2
Celta de Vigo,1972-73,1,1,2,2,1,0,2,0,2,1,2,2,2,0,1,1,2,2,0,2,0,0,2,0,1,2,2,1,1,0
Espanol,1972-73,1,0,1,0,1,1,1,0,1,0,0,1,2,0,1,2,0,0,2,0,0,0,0,0,2,0,2,0,1,0
Espanol,1973-74,0,2,0,2,1,2,0,2,0,1,2,0,2,0,2,0,2,2,0,2,1,0,1,2,0,1,1,1,0,0
Murcia,1973-74,2,1,1,0,1,0,1,1,1,2,0,2,0,2,2,2,1,0,2,2,2,2,1,2,0,2,1,0,0,2
Real Sociedad,1973-74,2,1,0,1,0,2,0,2,0,2,0,1,0,2,2,1,2,2,0,0,0,1,2,0,1,0,1,0,0,2
Granada,1973-74,0,1,1,0,1,2,2,2,1,2,0,1,0,2,0,2,0,0,0,0,2,1,1,2,1,1,0,2,1,1
Real Madrid,1973-74,1,1,1,2,0,1,1,1,0,2,0,2,0,2,0,1,1,2,2,0,0,2,2,2,0,0,0,2,0,2
Castellon,1973-74,1,0,1,2,1,2,2,2,0,1,1,2,2,1,1,2,0,0,2,2,0,0,2,2,0,1,1,2,1,2
Valencia,1973-74,0,2,0,0,2,0,0,0,2,0,1,1,2,2,2,2,2,0,2,0,1,0,0,1,2,2,2,0,1,0
Oviedo,1973-74,2,0,1,0,2,0,2,1,2,0,2,2,2,2,2,0,0,2,0,0,2,2,1,2,2,1,2,2,2,0
Celta de Vigo,1973-74,0,2,0,1,0,2,2,2,0,1,2,2,2,0,1,0,1,2,0,2,0,2,1,1,0,2,0,0,2,0
Atletico de Bilbao,1973-74,2,0,2,0,1,0,1,2,0,2,0,0,1,0,0,1,0,0,2,2,2,1,0,0,2,2,1,2,0,2
Elche,1973-74,0,2,1,2,0,2,2,1,2,1,2,0,0,0,0,1,2,2,2,2,1,0,2,0,2,0,1,2,2,0
Barcelona,1973-74,2,1,2,0,2,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1
Sporting de Gijon,1973-74,2,2,2,2,0,2,0,0,0,2,0,2,0,2,0,2,1,2,0,2,0,0,2,2,0,1,1,2,2,2
Atletico de Madrid,1973-74,0,0,2,0,2,0,2,0,2,1,2,0,1,1,2,0,2,0,0,0,1,0,0,0,1,2,1,0,2,0
Las Palmas,1973-74,0,2,0,2,2,0,2,0,2,0,2,0,2,0,2,0,2,2,2,2,1,2,0,0,2,1,1,0,1,1
CD Malaga,1973-74,2,0,1,1,1,0,1,0,1,0,2,2,2,0,0,2,0,0,0,0,2,1,1,0,2,1,1,0,2,1
Santander,1973-74,1,1,1,2,0,2,0,1,2,1,0,1,2,1,2,0,2,2,2,2,0,2,2,2,0,1,2,1,2,0
Zaragoza,1973-74,1,0,2,1,2,0,0,1,2,0,1,0,0,1,0,2,0,0,2,0,2,2,0,0,2,0,1,2,0,2
Espanol,1974-75,0,1,0,0,0,2,0,2,0,2,1,1,0,2,0,2,2,2,0,1,0,1,2,2,0,2,2,2,0,2
Celta de Vigo,1974-75,2,0,1,2,2,2,1,2,0,2,0,1,1,1,0,1,0,0,1,2,0,2,1,2,0,2,0,2,0,2
Sporting de Gijon,1974-75,0,0,2,2,1,0,2,0,1,1,1,1,2,0,2,0,1,2,1,1,1,2,2,0,2,1,2,0,2,0
Zaragoza,1974-75,2,0,0,1,2,0,2,0,2,0,1,0,2,1,0,1,0,0,1,1,1,0,2,0,2,0,2,1,0,0
Hercules,1974-75,1,2,2,1,1,0,0,2,1,0,2,0,2,1,2,2,0,1,1,1,1,1,1,2,0,1,0,0,1,0
Murcia,1974-75,1,0,2,1,2,0,2,1,2,1,1,2,2,2,0,2,2,1,2,0,2,1,1,1,2,0,2,2,2,2
Las Palmas,1974-75,0,1,1,1,2,2,0,2,0,1,1,2,1,2,2,0,2,2,0,1,0,2,0,2,0,2,0,2,1,2
Betis,1974-75,2,1,1,0,1,2,0,2,0,0,0,2,0,2,0,2,0,0,2,0,2,2,1,1,2,2,0,2,0,2
CD Malaga,1974-75,0,2,2,0,2,2,2,1,2,0,2,0,2,0,2,2,2,2,0,0,1,0,1,1,2,0,0,0,2,1
Atletico de Bilbao,1974-75,2,2,2,1,1,0,2,0,2,2,1,0,0,0,2,2,0,0,1,1,1,1,2,0,2,0,2,0,2,0
Real Sociedad,1974-75,0,2,0,2,1,2,0,2,1,1,1,1,1,1,0,0,0,2,1,2,0,0,0,2,1,1,0,1,1,2
Barcelona,1974-75,2,0,0,0,1,0,1,0,2,0,2,0,2,0,2,1,2,0,2,1,2,1,2,0,2,0,2,0,0,1
Valencia,1974-75,2,2,0,2,0,2,2,0,0,1,1,1,1,0,2,1,0,2,1,1,0,2,0,0,2,1,2,0,2,0
Real Madrid,1974-75,0,0,1,0,0,0,1,0,1,0,1,1,0,2,0,0,1,0,1,0,1,0,0,0,0,0,2,0,1,2
Atletico de Madrid,1974-75,1,2,0,2,0,2,1,1,1,1,0,1,1,0,2,1,2,1,0,2,1,2,0,2,0,1,0,2,1,0
Granada,1974-75,1,1,2,0,1,0,0,1,1,2,1,2,0,2,0,0,1,1,2,1,2,0,2,2,0,2,0,2,2,1
Salamanca,1974-75,0,2,1,1,1,2,0,2,2,2,1,1,1,0,2,0,1,0,0,2,1,1,0,1,0,1,2,1,1,0
Elche,1974-75,2,0,1,2,0,0,2,0,0,2,1,2,0,2,0,1,2,2,2,1,2,0,1,0,1,2,0,1,0,1
Elche,1975-76,2,2,0,2,0,2,2,1,1,2,0,1,1,1,2,1,1,2,1,2,0,2,1,2,1,2,0,2,1,2
Barcelona,1975-76,0,0,2,0,0,2,0,1,1,2,0,1,0,2,0,1,0,0,2,0,2,0,0,2,0,1,0,2,0,2
Espanol,1975-76,0,0,0,2,2,0,2,0,2,0,2,0,2,0,2,0,0,2,0,1,1,0,1,2,2,0,2,0,2,0
Hercules,1975-76,2,0,2,0,0,0,0,1,1,0,2,0,1,0,1,2,1,0,1,2,2,1,1,0,2,1,1,1,2,0
Sporting de Gijon,1975-76,1,1,2,2,2,2,0,2,0,1,2,2,2,1,2,1,2,1,0,2,0,1,0,2,0,2,1,2,1,0
Granada,1975-76,1,0,1,0,2,1,2,1,0,2,1,0,0,2,0,2,1,1,1,1,2,2,2,2,0,2,1,2,0,2
Real Sociedad,1975-76,0,2,2,0,2,1,0,0,1,1,2,1,2,1,2,2,1,2,0,0,1,1,2,1,2,0,0,0,2,0
Betis,1975-76,2,2,0,2,0,0,0,1,1,0,1,2,2,0,1,2,0,0,2,0,2,0,2,0,2,1,2,0,2,0
Real Madrid,1975-76,0,1,0,0,0,1,0,1,1,0,0,1,1,0,2,0,2,2,0,0,0,1,0,0,0,0,2,0,1,0
Santander,1975-76,2,0,0,0,2,1,2,1,1,0,0,2,0,2,0,2,2,0,2,0,2,0,2,0,2,0,2,2,0,2
Sevilla,1975-76,0,2,0,2,0,1,0,2,1,2,1,2,0,2,0,0,1,0,1,2,0,2,0,2,0,2,0,2,0,2
Las Palmas,1975-76,2,0,2,2,2,0,2,1,2,1,2,2,2,0,0,0,2,2,2,1,0,1,0,0,1,0,2,0,2,0
Valencia,1975-76,0,2,2,0,0,2,2,1,0,1,2,0,2,0,2,2,0,2,1,2,2,1,1,0,2,0,1,0,2,1
Oviedo,1975-76,2,1,2,0,2,2,2,1,2,2,2,0,1,2,2,0,2,0,2,0,2,0,1,0,2,0,2,0,2,2
Salamanca,1975-76,0,2,1,2,0,0,2,1,0,1,0,2,1,2,0,1,1,2,0,1,1,2,1,2,0,2,2,2,0,2
Atletico de Bilbao,1975-76,2,0,0,2,0,1,0,1,1,1,0,2,0,2,1,1,1,0,1,2,0,2,0,2,0,1,0,2,0,1
Zaragoza,1975-76,0,2,0,2,2,2,2,2,2,2,1,0,1,0,1,1,1,2,0,2,0,2,2,1,0,2,0,0,1,0
Atletico de Madrid,1975-76,2,1,2,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,1,0,2,0,2,2,0,1,0,2
Atletico de Bilbao,1976-77,0,0,1,2,2,2,1,0,1,0,2,1,2,0,2,0,2,1,0,0,0,2,0,0,2,0,1,0,1,0
Santander,1976-77,2,0,2,0,1,0,2,0,2,1,2,0,2,1,1,0,2,1,2,1,2,0,2,1,2,0,2,0,2,0
Sevilla,1976-77,1,0,0,2,1,1,0,2,2,1,1,0,1,1,1,2,1,2,0,2,0,1,0,2,0,1,0,2,2,0
Elche,1976-77,1,1,2,2,1,0,2,2,0,1,0,2,0,2,0,2,0,0,2,0,2,1,1,0,2,2,1,2,1,0
Zaragoza,1976-77,1,2,0,2,0,2,2,2,0,2,1,1,1,2,2,1,1,2,1,2,0,0,0,2,0,1,1,2,0,2
Real Sociedad,1976-77,1,1,2,0,1,2,0,2,0,1,0,1,0,2,0,0,0,0,2,0,2,2,1,2,0,2,1,2,0,2
Atletico de Madrid,1976-77,0,2,0,2,0,0,0,0,0,2,1,1,2,1,0,0,0,1,0,1,0,0,1,1,0,2,0,0,0,2
CD Malaga,1976-77,2,0,1,0,2,1,2,0,2,1,2,1,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,0,2,2
Barcelona,1976-77,0,2,0,2,0,0,2,1,0,0,1,0,1,0,0,0,0,2,0,1,0,2,2,1,1,1,2,0,0,0
Las Palmas,1976-77,2,0,2,0,2,0,2,0,2,1,1,1,0,2,0,1,0,0,2,0,2,2,0,0,2,0,1,1,2,2
Burgos,1976-77,2,1,0,2,1,2,0,2,1,2,1,2,0,0,2,0,2,2,0,2,0,2,0,0,2,2,0,2,0,0
Espanol,1976-77,0,0,2,0,1,2,0,2,0,1,0,1,0,2,2,2,1,0,1,0,2,0,1,2,1,2,0,2,0,2
Hercules,1976-77,0,2,0,2,0,2,1,1,2,1,1,1,2,0,2,0,2,2,0,1,2,1,0,2,1,0,2,0,2,0
Betis,1976-77,2,2,2,0,1,0,2,0,2,0,1,2,0,0,0,2,2,0,2,0,2,1,1,0,1,0,2,1,0,0
Salamanca,1976-77,2,2,2,0,2,0,2,0,2,1,0,1,2,0,2,1,0,0,0,1,2,0,2,0,0,1,1,0,2,0
Real Madrid,1976-77,0,2,2,0,1,0,0,0,2,1,2,0,2,0,1,2,0,2,2,1,0,1,2,0,1,1,1,0,1,2
Valencia,1976-77,0,1,0,0,1,2,0,2,0,1,0,2,0,1,0,1,2,2,0,2,0,1,2,1,1,0,1,2,2,2
Celta de Vigo,1976-77,2,0,0,2,1,2,0,2,0,1,2,1,1,2,1,2,1,0,2,2,0,1,1,2,0,1,0,2,1,2
Las Palmas,1977-78,1,1,0,1,0,2,0,2,0,2,0,0,2,1,2,0,1,2,1,2,1,0,1,0,1,2,0,2,2,1
Burgos,1977-78,1,2,2,0,2,1,1,2,0,2,0,2,1,2,0,1,1,0,2,0,2,0,1,2,0,1,0,2,0,2
Sevilla,1977-78,0,2,0,2,1,2,0,2,0,2,0,1,0,1,0,1,1,2,1,2,2,0,0,2,1,2,0,2,0,1
Espanol,1977-78,2,0,2,2,0,2,0,2,0,2,1,2,0,2,0,2,0,0,2,2,0,2,0,1,1,1,0,1,2,0
Atletico de Bilbao,1977-78,1,2,1,2,0,1,0,1,0,2,0,2,0,2,0,0,1,1,0,2,0,0,1,2,0,2,0,2,0,1
Betis,1977-78,1,1,1,0,1,1,2,2,2,0,2,0,2,0,2,1,2,1,2,0,0,0,2,2,2,0,2,0,2,1
Atletico de Madrid,1977-78,0,2,1,2,2,0,2,0,2,0,2,0,2,0,2,0,2,1,0,2,0,2,2,0,2,0,0,0,0,2
Valencia,1977-78,2,0,1,0,2,0,2,0,2,0,1,0,2,0,2,1,0,1,0,1,2,2,0,0,1,0,2,0,0,0
Barcelona,1977-78,0,1,1,0,0,0,2,0,2,0,1,2,1,0,0,1,2,0,0,0,2,1,1,0,1,0,2,1,2,0
Real Sociedad,1977-78,2,0,2,0,2,0,1,0,2,2,2,1,0,1,0,2,0,2,2,0,1,1,1,0,1,1,2,0,2,0
Cadiz,1977-78,0,2,0,2,2,2,2,1,1,0,2,1,2,0,2,1,1,2,2,2,2,1,0,0,2,1,2,2,2,2
Rayo Vallecano,1977-78,2,0,1,1,2,0,2,0,2,0,2,0,0,1,0,1,0,0,2,0,1,1,2,1,2,1,1,2,2,2
Hercules,1977-78,0,2,1,2,0,1,0,2,1,2,2,2,2,1,2,2,1,2,1,2,0,1,0,2,0,1,0,0,0,0
Sporting de Gijon,1977-78,2,1,0,0,2,2,1,1,0,2,1,1,0,2,0,1,0,0,1,0,0,0,2,0,2,0,1,2,0,1
Santander,1977-78,0,2,1,2,1,2,0,1,2,0,2,2,2,0,2,1,2,2,0,1,1,2,1,2,0,0,2,0,2,1
Elche,1977-78,2,0,2,0,1,0,2,0,2,0,0,2,2,2,2,2,1,0,1,0,2,2,2,0,2,2,2,0,2,2
Salamanca,1977-78,0,0,2,2,0,2,1,0,0,2,0,0,0,1,2,1,2,1,0,2,0,1,2,2,0,2,2,0,0,2
Real Madrid,1977-78,2,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,1,1,1,0,2,2,0,2,0,2,0,2,0,0
Atletico de Bilbao,1978-79,0,1,0,1,0,2,0,1,0,2,2,0,2,0,2,1,2,2,2,1,0,2,1,2,0,0,2,0,1,1
Rayo Vallecano,1978-79,2,1,1,0,2,2,2,0,2,0,0,2,2,1,1,2,1,0,1,1,2,0,1,0,2,2,2,2,0,1
Sporting de Gijon,1978-79,0,2,0,2,0,1,0,2,0,2,0,1,0,0,0,1,0,1,1,0,0,2,0,0,0,1,2,2,0,1
Atletico de Madrid,1978-79,2,0,0,2,1,0,1,1,0,1,1,0,1,2,2,0,0,1,1,2,0,0,1,1,0,2,0,1,1,2
Las Palmas,1978-79,0,0,0,2,1,2,2,1,1,0,0,1,1,0,2,0,1,0,2,2,0,1,0,0,2,0,0,1,2,0
Sevilla,1978-79,2,1,1,0,1,1,1,0,2,0,2,0,0,2,0,1,1,2,0,1,2,0,2,1,2,0,2,0,2,0
Barcelona,1978-79,0,2,0,2,0,0,2,0,1,0,2,2,0,0,2,0,1,2,1,2,0,0,2,0,2,0,2,0,1,0
Santander,1978-79,2,2,2,1,2,0,2,1,0,0,2,0,2,2,0,2,1,0,0,1,2,0,2,2,2,2,2,0,2,2
Burgos,1978-79,1,1,1,1,1,1,1,2,1,0,2,0,2,2,0,0,2,2,1,1,0,2,0,2,0,2,0,1,0,0
Real Sociedad,1978-79,1,2,2,0,1,0,2,0,0,2,0,2,0,2,0,2,0,0,0,0,2,2,2,0,1,0,0,2,0,0
Celta de Vigo,1978-79,2,2,0,2,1,2,1,2,1,2,2,2,0,0,2,1,2,1,0,2,0,2,0,2,1,2,0,1,1,2
Espanol,1978-79,0,0,2,0,0,2,0,2,2,2,0,1,2,2,0,2,0,1,1,0,1,2,0,2,0,0,0,2,1,2
Hercules,1978-79,0,2,2,2,2,0,0,2,2,2,0,2,0,0,0,0,2,2,1,1,1,2,0,2,1,2,0,1,0,2
Salamanca,1978-79,2,1,2,0,2,1,0,0,2,1,2,0,2,1,2,0,1,0,2,0,2,0,2,0,1,1,2,0,2,2
Recreativo de Huel,1978-79,0,0,1,2,0,2,2,2,1,2,0,2,2,2,2,2,2,1,2,1,0,2,0,2,2,2,2,2,2,0
Zaragoza,1978-79,2,0,2,0,2,2,0,2,0,2,0,2,0,2,0,1,0,1,2,2,2,0,2,2,0,2,0,2,0,2
Real Madrid,1978-79,0,1,0,0,1,0,1,0,1,0,1,1,2,0,1,1,1,0,0,1,2,1,1,0,0,0,0,1,1,0
Valencia,1978-79,2,0,2,1,1,0,1,0,2,0,2,0,0,0,2,2,1,2,1,0,2,0,2,0,2,0,2,0,2,1
Betis,1979-80,2,2,1,2,1,2,2,1,1,0,1,0,2,1,2,1,1,0,0,1,0,0,1,0,1,0,2,0,2,0
Rayo Vallecano,1979-80,0,2,2,1,1,2,1,0,1,0,2,0,2,1,1,1,2,2,2,2,2,0,2,0,0,1,2,0,2,0
Espanol,1979-80,0,0,0,2,1,1,1,2,1,2,2,2,1,1,0,0,1,1,1,1,0,2,2,2,2,2,1,2,1,0
AD Almeria,1979-80,2,0,1,1,2,1,2,1,2,0,2,0,2,0,1,1,2,1,1,1,2,0,2,0,2,0,1,2,0,2
Sporting de Gijon,1979-80,0,0,0,0,0,0,0,1,2,2,1,0,2,1,2,0,0,2,1,2,0,2,0,1,0,2,0,2,1,2
Sevilla,1979-80,2,0,2,0,1,2,0,2,1,1,0,2,0,2,0,2,0,0,2,0,2,2,2,2,0,1,0,1,0,2
Real Sociedad,1979-80,0,0,1,1,0,1,0,1,0,0,0,1,0,1,1,0,1,1,0,1,0,1,0,0,1,1,0,0,1,0
Las Palmas,1979-80,2,0,2,0,2,0,1,0,1,2,0,2,0,2,0,2,0,1,2,0,1,1,0,0,0,2,0,2,2,2
Burgos,1979-80,0,2,1,2,1,2,1,2,0,2,1,2,0,1,1,2,1,2,0,2,1,2,1,2,1,2,2,2,2,0
CD Malaga,1979-80,2,2,0,1,0,2,0,2,1,2,1,2,2,2,1,2,2,0,1,2,0,1,0,2,2,2,2,0,2,2
Hercules,1979-80,2,2,0,1,1,2,0,2,1,2,0,1,1,1,1,0,2,2,0,2,1,2,1,2,0,2,1,2,1,2
Atletico de Madrid,1979-80,0,2,1,1,1,1,1,2,2,2,0,2,0,1,1,1,1,0,1,0,2,0,0,2,2,2,0,2,0,1
Real Madrid,1979-80,0,0,0,1,0,0,1,0,2,0,1,0,0,0,1,0,2,2,0,0,0,0,1,0,1,1,1,0,0,0
Valencia,1979-80,2,1,1,1,2,0,2,0,0,0,2,0,0,2,1,1,1,0,1,1,1,0,1,0,2,0,2,0,1,2
Salamanca,1979-80,0,1,0,1,0,0,0,2,1,2,2,2,2,0,2,1,2,2,1,0,1,2,2,2,1,0,2,0,1,2
Atletico de Bilbao,1979-80,2,2,2,2,1,0,2,0,1,0,0,2,0,2,0,1,0,0,2,0,2,0,2,0,0,0,1,2,0,2
Zaragoza,1979-80,1,2,2,0,2,2,2,0,0,0,1,0,2,0,2,1,0,2,1,1,2,2,0,2,2,0,0,0,2,1
Barcelona,1979-80,1,0,2,1,2,0,2,0,1,1,2,0,2,0,1,2,0,0,2,2,1,1,1,1,1,0,2,0,0,0
Espanol,1980-81,0,2,0,2,0,2,0,0,1,1,2,0,2,1,2,1,0,2,0,2,1,0,1,2,0,2,0,0,0,2
Hercules,1980-81,2,1,0,1,1,0,2,2,2,0,1,2,1,0,2,1,0,0,2,1,0,2,1,2,2,2,0,1,2,2
Sporting de Gijon,1980-81,0,1,0,1,1,2,0,1,1,2,0,2,1,1,2,0,0,2,0,2,0,1,0,0,0,1,0,2,2,0
Betis,1980-81,2,2,0,0,1,2,0,0,0,2,1,2,0,2,0,2,2,0,1,1,0,0,0,0,1,2,0,2,1,0
Sevilla,1980-81,0,2,0,0,0,2,2,0,1,0,2,0,0,1,2,1,2,1,1,2,0,1,0,1,1,0,2,0,2,0
Salamanca,1980-81,2,2,2,1,2,2,1,2,2,2,2,1,0,2,0,2,0,1,1,0,2,2,1,2,2,0,2,0,1,2
