Dia,Mes,Anio,Hora,SO2 ,NO ,PM10,O3 ,CO mg/m3,Benceno,Tolueno,Xileno,NO2 
1,1,2010,1.00,12.00,5.00,31.00,56.00,0.40,2.00,3.00,2.00,22.00
1,1,2010,2.00,12.00,19.00,55.00,23.00,0.70,2.00,7.00,3.00,57.00
1,1,2010,3.00,11.00,4.00,37.00,37.00,0.60,2.00,6.00,2.00,38.00
1,1,2010,4.00,11.00,3.00,23.00,48.00,0.50,2.00,4.00,2.00,26.00
1,1,2010,5.00,11.00,2.00,21.00,52.00,0.40,2.00,10.00,3.00,20.00
1,1,2010,6.00,11.00,2.00,19.00,50.00,0.30,2.00,4.00,2.00,19.00
1,1,2010,7.00,12.00,2.00,18.00,51.00,0.30,2.00,4.00,2.00,19.00
1,1,2010,8.00,11.00,2.00,18.00,43.00,0.40,2.00,4.00,2.00,25.00
1,1,2010,9.00,11.00,2.00,17.00,45.00,0.40,2.00,4.00,2.00,23.00
1,1,2010,10.00,13.00,3.00,18.00,50.00,0.40,2.00,4.00,2.00,23.00
1,1,2010,11.00,14.00,4.00,15.00,56.00,0.40,2.00,4.00,2.00,26.00
1,1,2010,12.00,15.00,1.00,10.00,78.00,0.40,1.00,2.00,2.00,10.00
1,1,2010,13.00,14.00,1.00,9.00,82.00,0.60,2.00,2.00,2.00,8.00
1,1,2010,14.00,13.00,1.00,9.00,87.00,0.50,1.00,1.00,2.00,3.00
1,1,2010,15.00,12.00,1.00,9.00,86.00,0.50,1.00,1.00,2.00,4.00
1,1,2010,16.00,11.00,1.00,8.00,90.00,0.70,2.00,1.00,2.00,2.00
1,1,2010,17.00,8.00,1.00,10.00,87.00,0.70,2.00,1.00,2.00,3.00
1,1,2010,18.00,7.00,1.00,13.00,83.00,0.50,1.00,1.00,2.00,6.00
1,1,2010,19.00,8.00,2.00,10.00,79.00,0.50,2.00,2.00,2.00,11.00
1,1,2010,20.00,11.00,1.00,10.00,81.00,0.40,2.00,2.00,2.00,9.00
1,1,2010,21.00,17.00,2.00,11.00,74.00,0.50,2.00,2.00,2.00,18.00
1,1,2010,22.00,18.00,6.00,17.00,53.00,0.80,2.00,4.00,2.00,37.00
1,1,2010,23.00,16.00,6.00,18.00,50.00,0.80,2.00,7.00,3.00,40.00
1,1,2010,24.00,19.00,3.00,10.00,63.00,0.60,2.00,4.00,2.00,24.00
2,1,2010,1.00,13.00,2.00,13.00,71.00,0.60,2.00,3.00,2.00,19.00
2,1,2010,2.00,14.00,1.00,14.00,73.00,0.50,2.00,3.00,2.00,14.00
2,1,2010,3.00,16.00,1.00,14.00,70.00,0.30,2.00,2.00,2.00,16.00
2,1,2010,4.00,15.00,1.00,14.00,71.00,0.40,2.00,2.00,2.00,15.00
2,1,2010,5.00,15.00,1.00,11.00,71.00,0.30,2.00,2.00,2.00,14.00
2,1,2010,6.00,14.00,1.00,10.00,65.00,0.30,2.00,2.00,2.00,17.00
2,1,2010,7.00,12.00,2.00,13.00,65.00,0.40,2.00,3.00,2.00,17.00
2,1,2010,8.00,13.00,2.00,17.00,60.00,0.40,2.00,4.00,2.00,25.00
2,1,2010,9.00,14.00,5.00,19.00,48.00,0.50,2.00,3.00,2.00,35.00
2,1,2010,10.00,13.00,13.00,23.00,46.00,0.40,2.00,5.00,2.00,41.00
2,1,2010,11.00,26.00,13.00,20.00,60.00,0.40,2.00,4.00,2.00,33.00
2,1,2010,12.00,103.00,18.00,26.00,50.00,0.40,2.00,5.00,2.00,41.00
2,1,2010,13.00,100.00,13.00,23.00,46.00,0.40,2.00,3.00,2.00,36.00
2,1,2010,14.00,255.00,20.00,31.00,27.00,0.80,2.00,10.00,2.00,44.00
2,1,2010,15.00,284.00,10.00,28.00,49.00,0.60,2.00,6.00,2.00,29.00
2,1,2010,16.00,89.00,9.00,25.00,38.00,0.60,2.00,1.00,2.00,33.00
2,1,2010,17.00,62.00,11.00,24.00,49.00,0.40,2.00,1.00,2.00,34.00
2,1,2010,18.00,47.00,10.00,25.00,52.00,0.50,2.00,1.00,2.00,28.00
2,1,2010,19.00,24.00,9.00,24.00,48.00,0.50,2.00,2.00,2.00,35.00
2,1,2010,20.00,23.00,9.00,24.00,49.00,0.50,2.00,3.00,2.00,37.00
2,1,2010,21.00,18.00,10.00,24.00,44.00,0.50,2.00,3.00,2.00,39.00
2,1,2010,22.00,15.00,11.00,25.00,38.00,0.70,2.00,3.00,2.00,44.00
2,1,2010,23.00,15.00,14.00,26.00,22.00,0.90,2.00,6.00,2.00,53.00
2,1,2010,24.00,13.00,9.00,23.00,19.00,0.90,2.00,6.00,2.00,53.00
3,1,2010,1.00,11.00,8.00,18.00,19.00,0.80,2.00,6.00,2.00,45.00
3,1,2010,2.00,13.00,3.00,16.00,34.00,0.50,2.00,5.00,2.00,25.00
3,1,2010,3.00,13.00,3.00,17.00,29.00,0.40,2.00,4.00,2.00,28.00
3,1,2010,4.00,12.00,2.00,13.00,29.00,0.40,2.00,4.00,2.00,25.00
3,1,2010,5.00,10.00,2.00,10.00,33.00,0.40,2.00,4.00,2.00,22.00
3,1,2010,6.00,13.00,3.00,12.00,40.00,0.50,2.00,3.00,2.00,22.00
3,1,2010,7.00,12.00,4.00,13.00,29.00,0.50,2.00,3.00,2.00,32.00
3,1,2010,8.00,12.00,7.00,14.00,16.00,0.50,2.00,4.00,2.00,44.00
3,1,2010,9.00,12.00,9.00,21.00,21.00,0.60,2.00,5.00,2.00,42.00
3,1,2010,10.00,17.00,13.00,28.00,34.00,0.60,2.00,5.00,2.00,37.00
3,1,2010,11.00,16.00,9.00,23.00,58.00,0.50,2.00,5.00,2.00,22.00
3,1,2010,12.00,15.00,14.00,24.00,47.00,0.40,2.00,3.00,2.00,39.00
3,1,2010,13.00,42.00,13.00,26.00,46.00,0.30,2.00,11.00,2.00,31.00
3,1,2010,14.00,47.00,9.00,15.00,56.00,0.20,2.00,6.00,2.00,23.00
3,1,2010,15.00,112.00,24.00,36.00,33.00,0.30,2.00,7.00,2.00,45.00
3,1,2010,16.00,102.00,18.00,34.00,34.00,0.20,2.00,1.00,2.00,44.00
3,1,2010,17.00,37.00,3.00,20.00,59.00,0.30,1.00,1.00,2.00,15.00
3,1,2010,18.00,18.00,1.00,16.00,63.00,0.20,1.00,1.00,2.00,13.00
3,1,2010,19.00,15.00,10.00,17.00,43.00,0.50,2.00,1.00,2.00,35.00
3,1,2010,20.00,14.00,3.00,16.00,59.00,0.40,2.00,4.00,2.00,14.00
3,1,2010,21.00,13.00,3.00,12.00,54.00,0.40,2.00,4.00,2.00,18.00
3,1,2010,22.00,13.00,2.00,15.00,59.00,0.30,2.00,3.00,2.00,15.00
3,1,2010,23.00,13.00,2.00,12.00,69.00,0.40,2.00,2.00,2.00,9.00
3,1,2010,24.00,12.00,1.00,10.00,72.00,0.30,2.00,2.00,2.00,6.00
4,1,2010,1.00,12.00,1.00,7.00,72.00,0.40,2.00,2.00,2.00,4.00
4,1,2010,2.00,13.00,1.00,12.00,72.00,0.20,1.00,2.00,2.00,3.00
4,1,2010,3.00,11.00,1.00,3.00,79.00,0.30,1.00,1.00,2.00,2.00
4,1,2010,4.00,13.00,1.00,8.00,76.00,0.40,1.00,1.00,2.00,3.00
4,1,2010,5.00,13.00,1.00,3.00,73.00,0.40,1.00,1.00,2.00,4.00
4,1,2010,6.00,11.00,1.00,9.00,72.00,0.40,1.00,2.00,2.00,7.00
4,1,2010,7.00,11.00,1.00,12.00,72.00,0.50,1.00,2.00,2.00,11.00
4,1,2010,8.00,12.00,6.00,22.00,62.00,0.50,2.00,2.00,2.00,22.00
4,1,2010,9.00,13.00,9.00,21.00,55.00,0.50,2.00,3.00,2.00,31.00
4,1,2010,10.00,14.00,12.00,31.00,55.00,0.50,2.00,4.00,2.00,33.00
4,1,2010,11.00,14.00,9.00,29.00,62.00,0.50,2.00,4.00,2.00,27.00
4,1,2010,12.00,13.00,8.00,36.00,52.00,0.50,2.00,3.00,2.00,26.00
4,1,2010,13.00,16.00,12.00,23.00,64.00,0.50,2.00,3.00,2.00,31.00
4,1,2010,14.00,22.00,9.00,32.00,70.00,0.50,2.00,1.00,2.00,25.00
4,1,2010,15.00,17.00,10.00,37.00,64.00,0.80,1.00,1.00,2.00,26.00
4,1,2010,16.00,14.00,4.00,36.00,53.00,0.80,1.00,1.00,2.00,20.00
4,1,2010,17.00,10.00,4.00,34.00,69.00,0.70,1.00,1.00,2.00,18.00
4,1,2010,18.00,11.00,2.00,34.00,67.00,0.80,2.00,1.00,2.00,17.00
4,1,2010,19.00,13.00,4.00,33.00,67.00,0.80,2.00,2.00,2.00,20.00
4,1,2010,20.00,13.00,6.00,35.00,63.00,0.70,2.00,3.00,2.00,25.00
4,1,2010,21.00,11.00,3.00,38.00,56.00,0.70,2.00,4.00,2.00,26.00
4,1,2010,22.00,12.00,3.00,32.00,52.00,0.70,2.00,2.00,2.00,28.00
4,1,2010,23.00,13.00,4.00,29.00,56.00,0.70,2.00,4.00,2.00,27.00
4,1,2010,24.00,10.00,1.00,22.00,75.00,0.50,2.00,3.00,2.00,8.00
5,1,2010,2.00,11.00,3.00,14.00,79.00,0.30,2.00,2.00,2.00,6.00
5,1,2010,3.00,16.00,1.00,17.00,82.00,0.50,2.00,346.00,2.00,3.00
5,1,2010,4.00,13.00,1.00,14.00,82.00,0.40,2.00,367.00,2.00,1.00